1,o,the (Feminine: a),eu fui o único filho que ingressou na faculdade.,– I was the only child to enroll in college.,[sound:o.ogg],
2,de,"of, from",José mostrou ser uma pessoa de mau carácter.,– José showed himself to be a person of bad character.,[sound:de.ogg],
3,em,"in, on",a cidade foi fundada em 573.,– The city was founded in 573.,[sound:em.ogg],
4,e,and,em 1902 ele é preso e mandado para a Sibéria.,"– In 1902, he was arrested and sent to Siberia.",[sound:e.ogg],
5,que,"that, than, what",o presidente anunciou que os Estados Unidos colocariam um satélite em órbita.,– The president announced that the United States would put a satellite into orbit.,[sound:que.ogg],
6,ser,to be (norm),"Nestas regiões, ser um profissional de saúde deveria ser considerado ser um herói.","– In these areas, to be a health worker should be regarded as being a hero.",[sound:ser.ogg],
7,um,"a, one",o coração é um músculo.,– The heart is a muscle.,[sound:um.ogg],
8,por,"by, through, for",o comunismo foi professado por Marx e Engels.,– Communism was professed by Marx and Engels.,[sound:por.ogg],
9,para,"to, for, in order to",as informações são comprimidas para serem transmitidas.,– The information is compressed to be sent.,[sound:para.ogg],
10,a,"to, at",depois fomos a Belém ver as estátuas.,"– Afterwards, we went to Bethlehem to see the statues.",[sound:a.ogg],
11,não,"no, not",não faça isso não.,"– No, do not do that.",[sound:não.ogg],
12,com,with,comeu pão com manteiga.,– He ate bread with butter.,[sound:com.ogg],
13,ter,to have,o seu programa teve um enorme sucesso.,–His program had enormous success.,[sound:ter.ogg],
14,se,reflexive pronoun,"Quanto mais a União se afastar disso, mais a União se põe em perigo a si própria. ","– The more the Union distances itself from the people, the more it endangers itself.",[sound:se.ogg],
15,o,"it, him, her, them, you (F a)","apesar da protecção do governo, elesofreu um atentado que o matou.","– Despite the government’s protection, he was the victim of an assassination attempt which killed him.",[sound:o.ogg],
16,seu,"his, her(s), their(s), your(s)",a sua cara era pálida e os seus vestidos humildes.,– His face was pale and his clothing humble.,[sound:seu.ogg],
17,como,"how, like, as",a mãe ainda se lembra como se faz?,"– Mom, do you still remember how to do it?",[sound:como.ogg],
18,estar,to be (change from norm),Hoje estou muito feliz com minha gravidez.,– Today I am very happy with my pregnancy.,[sound:estar.ogg],
19,mais,"more, most",ele precisava de mais tempo para concluir a tarefa.,– He needed more time to complete the task.,[sound:mais.ogg],
20,mas,but,Estas aves são más voadoras mas excelentes corredoras.,– These birds don’t fly well but they are excellent runners.,[sound:mas.ogg],
21,fazer,"to do, make",Os Aliados fizeram uma tentativa pouco convincente de ajudar os russos.,– The Allies made a very unconvincing attempt to help the Russians.,[sound:fazer.ogg],
22,poder,"can, be able to",Os eclipses lunares podem ser totais ou parciais.,– Lunar eclipses can be total or partial.,[sound:poder.ogg],
23,este,this,este meu relógio é incansável.,– This watch of mine never stops.,[sound:este.ogg],
24,ou,"or, either","se me reconhecerá ou não, isso se verá.",– We will see whether he will recognize me or not.,[sound:ou.ogg],
25,ele,"he, it (him in BP)","todos olharam para o rapaz espantados. Ele, porém, continuou.","– Everyone looked at the young man in shock. He, however, continued on.",[sound:ele.ogg],
